FID IID mass
8537660 8537660 32.4
8537666 8537666 33.7
8537666 8537666 32
8537666 8537666 34
8537666 8537666 31.3
8537667 8537667 31.7
8537667 8537667 33.6
8537667 8537667 33.8
8537667 8537667 31.6
8537667 8537667 32.3
8537671 8537671 32.1
8537671 8537671 30.4
8537671 8537671 29.4
8537677 8537677 31
8537677 8537677 30.2
8537677 8537677 33.5
8537677 8537677 31.3
8537684 8537684 34.7
8537684 8537684 31.3
8537685 8537685 34.7
8537685 8537685 35.2
8537685 8537685 33.1
8537685 8537685 41.7
8537685 8537685 34.3
8537685 8537685 34.3
8537685 8537685 37.6
8537685 8537685 36.7
8537687 8537687 34
8537687 8537687 34.6
8537687 8537687 35.4
8537687 8537687 34.6
8537690 8537690 31.6
8537693 8537693 31.2
8537693 8537693 31.2
8537696 8537696 30.5
8537699 8537699 33.8
8537699 8537699 35.7
8537699 8537699 33.8
8537699 8537699 33
8537699 8537699 19.9
8537699 8537699 33.7
8537699 8537699 34.7
8537700 8537700 32.3
8537700 8537700 36.1
8537700 8537700 31.6
8537700 8537700 32.7
8537700 8537700 32.6
8537700 8537700 37.3
8537700 8537700 33.3
8537700 8537700 31.9
8537700 8537700 32.3
8537700 8537700 32.6
8537700 8537700 32.4
8537700 8537700 31.6
8537700 8537700 35.1
8537700 8537700 NA
8537700 8537700 33.8
8537700 8537700 31.7
8537701 8537701 32.3
8537702 8537702 32.3
8537702 8537702 33.5
8537705 8537705 35
8537705 8537705 33.4
8537705 8537705 30.9
8537710 8537710 33.2
8537715 8537715 32.3
8537715 8537715 NA
8537728 8537728 31
8537728 8537728 33.6
8537728 8537728 37.3
8537728 8537728 37.3
8537728 8537728 39
8537728 8537728 NA
8537728 8537728 35.4
8537728 8537728 31.8
8537728 8537728 33.8
8537728 8537728 31.3
8537729 8537729 34.3
8537729 8537729 37.4
8537729 8537729 41
8537730 8537730 33.5
8537730 8537730 31.8
8537738 8537738 34.8
8537742 8537742 30.7
8537742 8537742 34.9
8537742 8537742 34.9
8537742 8537742 34.3
8537742 8537742 36.7
8537743 8537743 30.7
8537746 8537746 31.4
8537748 8537748 32.2
8537751 8537751 30.3
8537756 8537756 29.6
8537757 8537757 28.8
8537757 8537757 28.8
8537760 8537760 31.9
8537760 8537760 30.3
8537761 8537761 32.4
8537770 8537770 29.7
8537770 8537770 31.9
8537770 8537770 31.3
8537771 8537771 29.9
8537771 8537771 32.8
8537771 8537771 32.7
8537771 8537771 32.7
8537771 8537771 34.6
8537771 8537771 35.3
8537771 8537771 NA
8537773 8537773 36
8537774 8537774 33.3
8537774 8537774 34.8
8537774 8537774 30.5
8537774 8537774 33.3
8537776 8537776 30.7
8537776 8537776 33.6
8537776 8537776 39.8
8537778 8537778 32.7
8537778 8537778 30.5
8537780 8537780 37.5
8537780 8537780 34.4
8537782 8537782 33.8
8537782 8537782 34.8
8537782 8537782 36.2
8537791 8537791 36.7
8537791 8537791 36.7
8537795 8537795 37.2
8537795 8537795 37.2
8537795 8537795 NA
8537795 8537795 36.5
8573007 8573007 29.8
8573008 8573008 34.8
8573009 8573009 32.2
