FID IID thr_wing
8414806 8414806 76
8414806 8414806 81.41
8414806 8414806 82
8414806 8414806 75.41
8414806 8414806 81
8414806 8414806 82.09
8414807 8414807 78
8414807 8414807 NA
8414807 8414807 NA
8414807 8414807 NA
8414807 8414807 NA
8414808 8414808 75.5
8414808 8414808 NA
8414808 8414808 80
8414808 8414808 76.64
8414808 8414808 NA
8414809 8414809 79
8414809 8414809 NA
8414810 8414810 78.5
8414810 8414810 78.64
8414810 8414810 79.4
8414811 8414811 80
8414812 8414812 77.5
8414812 8414812 76
8414812 8414812 76
8414812 8414812 76.61
8414812 8414812 77.86
8414812 8414812 78.83
8414812 8414812 77.86
8414813 8414813 80
8414813 8414813 79
8414813 8414813 79.78
8414813 8414813 81
8414813 8414813 81
8414814 8414814 84
8414814 8414814 NA
8414814 8414814 NA
8414814 8414814 NA
8414814 8414814 84.64
8414814 8414814 85
8414815 8414815 78.5
8414815 8414815 NA
8414815 8414815 NA
8414815 8414815 NA
8414815 8414815 79
8414815 8414815 79.5
8414816 8414816 81
8414816 8414816 NA
8414816 8414816 82.64
8414816 8414816 82.5
8414817 8414817 76
8414817 8414817 NA
8414818 8414818 79
8414818 8414818 NA
8414818 8414818 NA
8414819 8414819 83
8414819 8414819 NA
8414819 8414819 84.64
8414819 8414819 82
8414819 8414819 83.78
8414820 8414820 82
8414820 8414820 NA
8414820 8414820 NA
8414820 8414820 NA
8414820 8414820 83
8414820 8414820 82.64
8414820 8414820 84
8414820 8414820 82.64
8414820 8414820 NA
8414820 8414820 82
8414820 8414820 81.78
8414820 8414820 82
8414821 8414821 80.5
8414821 8414821 NA
8414821 8414821 NA
8414822 8414822 82
8414822 8414822 NA
8414822 8414822 NA
8414823 8414823 76
8414823 8414823 NA
8414823 8414823 NA
8414823 8414823 77.41
8414823 8414823 76
8414823 8414823 77.41
8414823 8414823 78
8414824 8414824 79.5
8414824 8414824 NA
8414825 8414825 75.5
8414825 8414825 NA
8414826 8414826 80
8414826 8414826 NA
8414826 8414826 NA
8414826 8414826 NA
8414826 8414826 NA
8414826 8414826 81
8414826 8414826 80.64
8414826 8414826 82
8414826 8414826 81
8414826 8414826 NA
8414826 8414826 79.64
8414826 8414826 80.64
8414826 8414826 82
8414826 8414826 81
8414826 8414826 78.64
8414826 8414826 81.7
8414826 8414826 80.7
8414827 8414827 79
8414828 8414828 78
8414828 8414828 NA
8414828 8414828 NA
8414828 8414828 NA
8414828 8414828 79.5
8414828 8414828 78
8414829 8414829 79
8414829 8414829 NA
8414829 8414829 NA
8414829 8414829 NA
8414829 8414829 80
8414829 8414829 79.64
8414829 8414829 80
8414829 8414829 80
8414829 8414829 80.64
8414829 8414829 78.64
8414829 8414829 NA
8414829 8414829 80.64
8414829 8414829 80
8414829 8414829 80.64
8414829 8414829 80
8414829 8414829 80.41
8414829 8414829 NA
8414830 8414830 78
8414830 8414830 NA
8414830 8414830 80
8414830 8414830 81.64
8414830 8414830 79
8414830 8414830 80
8414831 8414831 80
8414831 8414831 NA
8414832 8414832 82.5
8414832 8414832 NA
8414832 8414832 NA
8414832 8414832 NA
8414832 8414832 82
8414832 8414832 81.78
8414832 8414832 84.61
8414833 8414833 79
8414833 8414833 NA
8414833 8414833 NA
8414833 8414833 NA
8414833 8414833 81
8414833 8414833 82
8414833 8414833 81
8414834 8414834 79
8414834 8414834 NA
8414834 8414834 NA
8414834 8414834 NA
8414835 8414835 81.5
8414835 8414835 NA
8414836 8414836 78
8414836 8414836 NA
8414837 8414837 82.5
8414837 8414837 NA
8414837 8414837 NA
8414837 8414837 NA
8414837 8414837 83
8414837 8414837 82.64
8414837 8414837 84
8414837 8414837 83.64
8414837 8414837 82.64
8414837 8414837 81.64
8414837 8414837 82
8414837 8414837 82
8414837 8414837 80.64
8414838 8414838 81
8414838 8414838 NA
8414839 8414839 78
8414839 8414839 NA
8414839 8414839 NA
8414839 8414839 NA
8414840 8414840 82
8414840 8414840 82
8414840 8414840 NA
8414840 8414840 83
8414840 8414840 84
8414840 8414840 82
8414840 8414840 81.78
8414840 8414840 79.64
8414840 8414840 81.64
8414840 8414840 82
8414841 8414841 76
8414841 8414841 NA
8414841 8414841 79
8414841 8414841 78
8414841 8414841 78.41
8414842 8414842 77.5
8414842 8414842 NA
8414842 8414842 NA
8414842 8414842 79
8414842 8414842 78
8414842 8414842 NA
8414842 8414842 NA
8414843 8414843 78
8414843 8414843 NA
8414843 8414843 NA
8414843 8414843 NA
8414843 8414843 77
8414843 8414843 80
8414843 8414843 NA
8414843 8414843 NA
8414844 8414844 80
8414844 8414844 NA
8414844 8414844 NA
8414845 8414845 84
8414845 8414845 NA
8414845 8414845 83
8414845 8414845 84.64
8414845 8414845 85
8414845 8414845 83
